full_name,default_branch,workflow_identifier,workflow_id,workflow_path,looks_like_instru,styles,style,invocation_types,third_party_provider_name,test_invocation_step_names,jobs_before_anchor_count,run_id,run_number,run_attempt,head_sha,created_at,run_started_at,status,run_conclusion,event,head_branch,html_url,extracted_at_utc,queue_seconds,time_to_first_instru_seconds,instru_conclusion,instru_detect_method,instru_duration_seconds,run_duration_seconds,runner_labels_union,instru_job_count,instru_step_count,instru_job_names,instru_step_names,instru_total_seconds,instru_window_seconds,instru_first_started_at,instru_last_completed_at,instru_share_of_run,anchor_job_name,anchor_job_started_at,anchor_job_start_source,time_to_first_instru_from_anchor_job_seconds,time_to_first_instru_from_anchor_job_quality,S2_run_started_at_jobs_min,S2_run_ended_at_jobs_max,S2_run_duration_seconds_jobs_window,S2_run_timing_source,S2_queue_seconds,S2_time_to_first_instru_seconds,S2_instru_conclusion,S2_instru_detect_method,S2_instru_duration_seconds,S2_run_duration_seconds,S2_runner_labels_union,S2_instru_job_count,S2_instru_step_count,S2_instru_job_names,S2_instru_step_names,S2_instru_total_seconds,S2_instru_window_seconds,S2_instru_first_started_at,S2_instru_last_completed_at,S2_instru_share_of_run,S2_anchor_job_name,S2_anchor_job_started_at,S2_anchor_job_start_source,S2_time_to_first_instru_from_anchor_job_seconds,S2_time_to_first_instru_from_anchor_job_quality,first_test_step_started_at,ttfts_seconds,ttfts_source,modified_ttfts_seconds,modified_ttfts_source,modified_ttfts_quality,jobs_to_anchor_job_count,jobs_to_anchor_job_count_source,instru_started_at,instru_ended_at,test_exec_started_at,test_exec_ended_at,pre_test_overhead_seconds,core_instru_window_seconds,post_test_overhead_seconds,instru_exec_sum_seconds,instru_exec_window_seconds,instru_exec_step_count,env_setup_sum_seconds,artifact_sum_seconds,third_party_job_count,third_party_job_names,third_party_provider_job_count,third_party_provider_job_names,stage3_extracted_at_utc
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22659215789,2681,1,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,2026-03-04T07:19:28Z,2026-03-04T07:19:28Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/22659215789,2026-03-06T05:54:50.236884+00:00,0,158,success,step_name_anchor,360,518,ubuntu-latest,1,1,Build and test,Run instrument tests,358,358,2026-03-04T07:22:06Z,2026-03-04T07:28:04Z,0.69112,Build and test,2026-03-04T07:19:31Z,job_started_at,155,exact,2026-03-04T07:19:31Z,2026-03-04T07:28:09Z,518,jobs_window,0,158,success,step_name_anchor,358,518,ubuntu-latest,1,1,Build and test,Run instrument tests,358,358,2026-03-04T07:22:06Z,2026-03-04T07:28:04Z,0.69112,Build and test,2026-03-04T07:19:31Z,job_started_at,155,exact,2026-03-04T07:22:06Z,158,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-03-04T07:22:06Z,2026-03-04T07:28:06Z,2026-03-04T07:22:06Z,2026-03-04T07:28:04Z,0,358,2,358,358,1,358,,0,,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22553971141,2670,1,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,2026-03-01T22:12:08Z,2026-03-01T22:12:08Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22553971141,2026-03-06T05:54:50.570706+00:00,0,861,success,step_name_anchor,435,1323,ubuntu-latest,1,1,Build and test,Run instrument tests,398,398,2026-03-01T22:26:29Z,2026-03-01T22:33:07Z,0.300831,Build and test,2026-03-01T22:12:10Z,job_started_at,859,exact,2026-03-01T22:12:10Z,2026-03-01T22:34:13Z,1323,jobs_window,0,861,success,step_name_anchor,398,1323,ubuntu-latest,1,1,Build and test,Run instrument tests,398,398,2026-03-01T22:26:29Z,2026-03-01T22:33:07Z,0.300831,Build and test,2026-03-01T22:12:10Z,job_started_at,859,exact,2026-03-01T22:26:29Z,861,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-03-01T22:26:29Z,2026-03-01T22:33:44Z,2026-03-01T22:26:29Z,2026-03-01T22:33:07Z,0,398,37,398,398,1,398,2,0,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22553965990,2669,1,ab6e054a02ef0bd2ad6b07fa507801f68d48844d,2026-03-01T22:11:56Z,2026-03-01T22:11:56Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22553965990,2026-03-06T05:54:50.904042+00:00,0,866,success,step_name_anchor,440,1331,ubuntu-latest,1,1,Build and test,Run instrument tests,406,406,2026-03-01T22:26:22Z,2026-03-01T22:33:08Z,0.305034,Build and test,2026-03-01T22:11:58Z,job_started_at,864,exact,2026-03-01T22:11:58Z,2026-03-01T22:34:09Z,1331,jobs_window,0,866,success,step_name_anchor,406,1331,ubuntu-latest,1,1,Build and test,Run instrument tests,406,406,2026-03-01T22:26:22Z,2026-03-01T22:33:08Z,0.305034,Build and test,2026-03-01T22:11:58Z,job_started_at,864,exact,2026-03-01T22:26:22Z,866,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-03-01T22:26:22Z,2026-03-01T22:33:42Z,2026-03-01T22:26:22Z,2026-03-01T22:33:08Z,0,406,34,406,406,1,406,3,0,,0,,2026-03-06T05:57:33.729055+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22553961130,2668,1,0f62383edc671b8d62d692d2f5f2d2d7d2ccb706,2026-03-01T22:11:44Z,2026-03-01T22:11:44Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22553961130,2026-03-06T05:54:51.274907+00:00,0,838,success,step_name_anchor,456,1323,ubuntu-latest,1,1,Build and test,Run instrument tests,422,422,2026-03-01T22:25:42Z,2026-03-01T22:32:44Z,0.318972,Build and test,2026-03-01T22:11:47Z,job_started_at,835,exact,2026-03-01T22:11:47Z,2026-03-01T22:33:50Z,1323,jobs_window,0,838,success,step_name_anchor,422,1323,ubuntu-latest,1,1,Build and test,Run instrument tests,422,422,2026-03-01T22:25:42Z,2026-03-01T22:32:44Z,0.318972,Build and test,2026-03-01T22:11:47Z,job_started_at,835,exact,2026-03-01T22:25:42Z,838,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-03-01T22:25:42Z,2026-03-01T22:33:18Z,2026-03-01T22:25:42Z,2026-03-01T22:32:44Z,0,422,34,422,422,1,422,3,0,,0,,2026-03-06T05:57:34.093712+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22538390619,2667,1,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,2026-03-01T07:17:15Z,2026-03-01T07:17:15Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/22538390619,2026-03-06T05:54:51.549299+00:00,0,156,success,step_name_anchor,373,530,ubuntu-latest,1,1,Build and test,Run instrument tests,371,371,2026-03-01T07:19:51Z,2026-03-01T07:26:02Z,0.7,Build and test,2026-03-01T07:17:17Z,job_started_at,154,exact,2026-03-01T07:17:17Z,2026-03-01T07:26:07Z,530,jobs_window,0,156,success,step_name_anchor,371,530,ubuntu-latest,1,1,Build and test,Run instrument tests,371,371,2026-03-01T07:19:51Z,2026-03-01T07:26:02Z,0.7,Build and test,2026-03-01T07:17:17Z,job_started_at,154,exact,2026-03-01T07:19:51Z,156,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-03-01T07:19:51Z,2026-03-01T07:26:04Z,2026-03-01T07:19:51Z,2026-03-01T07:26:02Z,0,371,2,371,371,1,371,,0,,0,,2026-03-06T05:57:34.366572+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22515951108,2666,1,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,2026-02-28T07:11:34Z,2026-02-28T07:11:34Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/22515951108,2026-03-06T05:54:51.801656+00:00,0,199,success,step_name_anchor,460,658,ubuntu-latest,1,1,Build and test,Run instrument tests,458,458,2026-02-28T07:14:53Z,2026-02-28T07:22:31Z,0.696049,Build and test,2026-02-28T07:11:37Z,job_started_at,196,exact,2026-02-28T07:11:37Z,2026-02-28T07:22:35Z,658,jobs_window,0,199,success,step_name_anchor,458,658,ubuntu-latest,1,1,Build and test,Run instrument tests,458,458,2026-02-28T07:14:53Z,2026-02-28T07:22:31Z,0.696049,Build and test,2026-02-28T07:11:37Z,job_started_at,196,exact,2026-02-28T07:14:53Z,199,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-02-28T07:14:53Z,2026-02-28T07:22:33Z,2026-02-28T07:14:53Z,2026-02-28T07:22:31Z,0,458,2,458,458,1,458,,0,,0,,2026-03-06T05:57:34.590202+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22429238799,2662,1,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,2026-02-26T05:29:49Z,2026-02-26T05:29:49Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22429238799,2026-03-06T05:54:52.052913+00:00,0,992,success,step_name_anchor,486,1501,ubuntu-latest,1,1,Build and test,Run instrument tests,450,450,2026-02-26T05:46:21Z,2026-02-26T05:53:51Z,0.2998,Build and test,2026-02-26T05:29:52Z,job_started_at,989,exact,2026-02-26T05:29:52Z,2026-02-26T05:54:53Z,1501,jobs_window,0,992,success,step_name_anchor,450,1501,ubuntu-latest,1,1,Build and test,Run instrument tests,450,450,2026-02-26T05:46:21Z,2026-02-26T05:53:51Z,0.2998,Build and test,2026-02-26T05:29:52Z,job_started_at,989,exact,2026-02-26T05:46:21Z,992,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-02-26T05:46:21Z,2026-02-26T05:54:27Z,2026-02-26T05:46:21Z,2026-02-26T05:53:51Z,0,450,36,450,450,1,450,3,0,,0,,2026-03-06T05:57:34.827786+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22429212733,2661,1,d9a9922141087c17186a0b297f959e73a3f6a84f,2026-02-26T05:28:43Z,2026-02-26T05:28:43Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22429212733,2026-03-06T05:54:52.316440+00:00,0,955,success,step_name_anchor,479,1460,ubuntu-latest,1,1,Build and test,Run instrument tests,428,428,2026-02-26T05:44:38Z,2026-02-26T05:51:46Z,0.293151,Build and test,2026-02-26T05:28:45Z,job_started_at,953,exact,2026-02-26T05:28:45Z,2026-02-26T05:53:05Z,1460,jobs_window,0,955,success,step_name_anchor,428,1460,ubuntu-latest,1,1,Build and test,Run instrument tests,428,428,2026-02-26T05:44:38Z,2026-02-26T05:51:46Z,0.293151,Build and test,2026-02-26T05:28:45Z,job_started_at,953,exact,2026-02-26T05:44:38Z,955,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-02-26T05:44:38Z,2026-02-26T05:52:37Z,2026-02-26T05:44:38Z,2026-02-26T05:51:46Z,0,428,51,428,428,1,428,3,0,,0,,2026-03-06T05:57:35.136571+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22429202632,2660,1,b496205bc0e10988be7385f54702d50fd1d61a18,2026-02-26T05:28:19Z,2026-02-26T05:28:19Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22429202632,2026-03-06T05:54:52.825604+00:00,0,885,success,step_name_anchor,472,1384,ubuntu-latest,1,1,Build and test,Run instrument tests,423,423,2026-02-26T05:43:04Z,2026-02-26T05:50:07Z,0.305636,Build and test,2026-02-26T05:28:22Z,job_started_at,882,exact,2026-02-26T05:28:22Z,2026-02-26T05:51:26Z,1384,jobs_window,0,885,success,step_name_anchor,423,1384,ubuntu-latest,1,1,Build and test,Run instrument tests,423,423,2026-02-26T05:43:04Z,2026-02-26T05:50:07Z,0.305636,Build and test,2026-02-26T05:28:22Z,job_started_at,882,exact,2026-02-26T05:43:04Z,885,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-02-26T05:43:04Z,2026-02-26T05:50:56Z,2026-02-26T05:43:04Z,2026-02-26T05:50:07Z,0,423,49,423,423,1,423,8,0,,0,,2026-03-06T05:57:35.487738+00:00
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,22429199907,2659,1,883f9bdaebc26e7a1135c3d3b5342ba7d37341ad,2026-02-26T05:28:11Z,2026-02-26T05:28:11Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22429199907,2026-03-06T05:54:53.230756+00:00,0,830,success,step_name_anchor,590,1445,ubuntu-latest,1,1,Build and test,Run instrument tests,553,553,2026-02-26T05:42:01Z,2026-02-26T05:51:14Z,0.382699,Build and test,2026-02-26T05:28:13Z,job_started_at,828,exact,2026-02-26T05:28:13Z,2026-02-26T05:52:18Z,1445,jobs_window,0,830,success,step_name_anchor,553,1445,ubuntu-latest,1,1,Build and test,Run instrument tests,553,553,2026-02-26T05:42:01Z,2026-02-26T05:51:14Z,0.382699,Build and test,2026-02-26T05:28:13Z,job_started_at,828,exact,2026-02-26T05:42:01Z,830,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1,runtime_observed_job_order,2026-02-26T05:42:01Z,2026-02-26T05:51:51Z,2026-02-26T05:42:01Z,2026-02-26T05:51:14Z,0,553,37,553,553,1,553,3,0,,0,,2026-03-06T05:57:35.872765+00:00
